บาง	b-aa-ng^-0|
ศพ	s-o-p^-1|
มี	m-ii-z^-0|
คราบ	khr-aa-p^-2|
สี	s-ii-z^-4|
ขาว	kh-aa-w^-4|
จับ	c-a-p^-1|
เขรอะ	khr-q-z^-1|
ขอบ	kh-@@-p^-1|
ปาก	p-aa-k^-1|
ผล	ph-o-n^-4|
การ	k-aa-n^-0|
สอบ	s-@@-p^-1|
คำ	kh-a-m^-0|
พนักงาน	ph-a-z^-3|n-a-k^-3|ng-aa-n^-0|
บริษัท	b-@@-z^-0|r-i-z^-3|s-a-t^-1|
ทอร์เซน	th-@@-z^-0|s-ee-n^-2|
พับบลิค	ph-a-p^-3|bl-i-k^-1|
เอเยนซี่	z-ee-z^-0|j-ee-n^-0|s-ii-z^-2|
เจ้าสัว	c-a-w^-2|s-uua-z^-4|
ชาตรี	ch-aa-z^-0|tr-ii-z^-0|
ชม	ch-o-m^-0|
เปาะ	p-@-z^-1|
หุ้น	h-u-n^-2|
กระ	kr-a-z^-1|
ฉูด	ch-uu-t^-1|
งาน	ng-aa-n^-0|
รัฐ	r-a-t^-3|
เนื้อ	n-vva-z^-3|
อุ๋ย	z-u-j^-4|
ไม่	m-a-j^-2|
รู้	r-uu-z^-3|
ใคร	khr-a-j^-0|
สั่ง	s-a-ng^-1|
บีบ	b-ii-p^-1|
สเปรด	s-a-z^-1|pr-ee-t^-3|
มอบ	m-@@-p^-2|
วัด	w-a-t^-3|
พระ	phr-a-z^-3|
บาท	b-aa-t^-1|
น้ำพุ	n-a-m^-3|ph-u-z^-3|
สร้าง	s-aa-ng^-2|
เตา	t-a-w^-0|
เผา	ph-a-w^-4|
เอดส์	z-ee-t^-1|
ลง	l-o-ng^-0|
นาม	n-aa-m^-0|
ใน	n-a-j^-0|
สมุด	s-a-z^-0|m-u-t^-1|
อวยพร	z-uua-j^-0|ph-@@-n^-0|
พร้อม	phr-@@-m^-3|
กับ	k-a-p^-1|
ที่	th-ii-z^-2|
วง	w-o-ng^-0|
ดนตรี	d-o-n^-0|tr-ii-z^-0|
ออเคสตร้า	z-@@-z^-0|kh-ee-s^-3|tr-aa-z^-2|
[sp]	$-$-$-$|
ของ	kh-@@-ng^-4|
ดุริยางค์	d-u-z^-1|r-i-z^-0|j-aa-ng^-0|
ทหาร	th-a-z^-3|h-aa-n^-4|
บก	b-o-k^-1|
บรรเลง	b-a-n^-0|l-ee-ng^-0|
เพลง	phl-ee-ng^-0|
เว็ดดิ้ง	w-e-t^-3|d-i-ng^-2|
มาร์ช	m-aa-ch^-3|
คลอ	khl-@@-z^-0|
ไป	p-a-j^-0|
ด้วย	d-uua-j^-2|
ก่อน	k-@@-n^-1|
คู่	kh-uu-z^-2|
บ่าว	b-aa-w^-1|
สาว	s-aa-w^-4|
จะ	c-a-z^-1|
เดิน	d-qq-n^-0|
ลอด	l-@@-t^-2|
ซุ้ม	s-u-m^-3|
กระบี่	kr-a-z^-1|b-ii-z^-1|
แล้ว	l-xx-w^-3|
ผลุน	phl-u-n^-4|
ผลัน	phl-a-n^-4|
ออก	z-@@-k^-1|
จาก	c-aa-k^-1|
บ้าน	b-aa-n^-2|
พรรค	ph-a-k^-3|
ประชาธิปัตย์	pr-a-z^-1|ch-aa-z^-0|th-i-z^-3|p-a-t^-1|
เตรียม	tr-iia-m^-0|
